,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Team
2,39,43,0.476,17.0,103.1,103.3,-0.43,2004,New York Knicks*
3,30,52,0.366,26.0,101.4,106.4,-4.84,2004,Washington Bullets
4,26,56,0.317,30.0,102.9,107.5,-4.53,2004,New Jersey Nets
5,24,58,0.293,32.0,101.8,107.8,-5.91,2004,Miami Heat
6,61,21,0.744,—,110.0,101.0,8.57,2004,Chicago Bulls*
7,50,32,0.61,11.0,100.1,96.8,3.08,2004,Detroit Pistons*
8,48,34,0.585,13.0,106.4,104.0,2.33,2004,Milwaukee Bucks*
9,43,39,0.524,18.0,109.8,109.0,0.72,2004,Atlanta Hawks*
10,41,41,0.5,20.0,111.7,112.1,-0.37,2004,Indiana Pacers*
11,33,49,0.402,28.0,101.7,104.2,-2.33,2004,Cleveland Cavaliers
12,26,56,0.317,35.0,102.8,108.0,-4.95,2004,Charlotte Hornets
0,55,27,0.671,—,107.1,102.6,4.3,2004,San Antonio Spurs*
1,54,28,0.659,1.0,104.0,100.7,3.18,2004,Utah Jazz*
2,52,30,0.634,3.0,106.7,103.2,3.27,2004,Houston Rockets*
3,31,51,0.378,24.0,105.9,109.9,-3.79,2004,Orlando Magic
4,29,53,0.354,26.0,99.6,103.5,-3.75,2004,Minnesota Timberwolves
5,28,54,0.341,27.0,99.9,104.5,-4.27,2004,Dallas Mavericks
6,20,62,0.244,35.0,119.9,130.8,-10.31,2004,Denver Nuggets
7,63,19,0.768,—,114.7,106.0,8.47,2004,Portland Trail Blazers*
8,58,24,0.707,5.0,106.3,99.6,6.73,2004,Los Angeles Lakers*
9,55,27,0.671,8.0,114.0,107.5,6.49,2004,Phoenix Suns*
10,44,38,0.537,19.0,116.6,115.0,1.72,2004,Golden State Warriors*
11,41,41,0.5,22.0,106.6,105.4,1.31,2004,Seattle SuperSonics*
12,31,51,0.378,32.0,103.5,107.0,-3.16,2004,Los Angeles Clippers
13,25,57,0.305,38.0,96.7,103.5,-6.27,2004,Sacramento Kings
0,56,26,0.683,—,111.5,105.7,5.22,2005,Boston Celtics*
1,44,38,0.537,12.0,105.4,105.6,-0.39,2005,Philadelphia 76ers*
2,39,43,0.476,17.0,103.1,103.3,-0.43,2005,New York Knicks*
3,30,52,0.366,26.0,101.4,106.4,-4.84,2005,Washington Bullets
4,26,56,0.317,30.0,102.9,107.5,-4.53,2005,New Jersey Nets
5,24,58,0.293,32.0,101.8,107.8,-5.91,2005,Miami Heat
6,61,21,0.744,—,110.0,101.0,8.57,2005,Chicago Bulls*
7,50,32,0.61,11.0,100.1,96.8,3.08,2005,Detroit Pistons*
8,48,34,0.585,13.0,106.4,104.0,2.33,2005,Milwaukee Bucks*
9,43,39,0.524,18.0,109.8,109.0,0.72,2005,Atlanta Hawks*
10,41,41,0.5,20.0,111.7,112.1,-0.37,2005,Indiana Pacers*
11,33,49,0.402,28.0,101.7,104.2,-2.33,2005,Cleveland Cavaliers
12,26,56,0.317,35.0,102.8,108.0,-4.95,2005,Charlotte Hornets
0,55,27,0.671,—,107.1,102.6,4.3,2005,San Antonio Spurs*
1,54,28,0.659,1.0,104.0,100.7,3.18,2005,Utah Jazz*
2,52,30,0.634,3.0,106.7,103.2,3.27,2005,Houston Rockets*
3,31,51,0.378,24.0,105.9,109.9,-3.79,2005,Orlando Magic
4,29,53,0.354,26.0,99.6,103.5,-3.75,2005,Minnesota Timberwolves
5,28,54,0.341,27.0,99.9,104.5,-4.27,2005,Dallas Mavericks
6,20,62,0.244,35.0,119.9,130.8,-10.31,2005,Denver Nuggets
7,63,19,0.768,—,114.7,106.0,8.47,2005,Portland Trail Blazers*
8,58,24,0.707,5.0,106.3,99.6,6.73,2005,Los Angeles Lakers*
9,55,27,0.671,8.0,114.0,107.5,6.49,2005,Phoenix Suns*
10,44,38,0.537,19.0,116.6,115.0,1.72,2005,Golden State Warriors*
11,41,41,0.5,22.0,106.6,105.4,1.31,2005,Seattle SuperSonics*
12,31,51,0.378,32.0,103.5,107.0,-3.16,2005,Los Angeles Clippers
13,25,57,0.305,38.0,96.7,103.5,-6.27,2005,Sacramento Kings
0,56,26,0.683,—,111.5,105.7,5.22,2006,Boston Celtics*
1,44,38,0.537,12.0,105.4,105.6,-0.39,2006,Philadelphia 76ers*
2,39,43,0.476,17.0,103.1,103.3,-0.43,2006,New York Knicks*
3,30,52,0.366,26.0,101.4,106.4,-4.84,2006,Washington Bullets
4,26,56,0.317,30.0,102.9,107.5,-4.53,2006,New Jersey Nets
5,24,58,0.293,32.0,101.8,107.8,-5.91,2006,Miami Heat
6,61,21,0.744,—,110.0,101.0,8.57,2006,Chicago Bulls*
7,50,32,0.61,11.0,100.1,96.8,3.08,2006,Detroit Pistons*
8,48,34,0.585,13.0,106.4,104.0,2.33,2006,Milwaukee Bucks*
9,43,39,0.524,18.0,109.8,109.0,0.72,2006,Atlanta Hawks*
10,41,41,0.5,20.0,111.7,112.1,-0.37,2006,Indiana Pacers*
11,33,49,0.402,28.0,101.7,104.2,-2.33,2006,Cleveland Cavaliers
12,26,56,0.317,35.0,102.8,108.0,-4.95,2006,Charlotte Hornets
0,55,27,0.671,—,107.1,102.6,4.3,2006,San Antonio Spurs*
1,54,28,0.659,1.0,104.0,100.7,3.18,2006,Utah Jazz*
2,52,30,0.634,3.0,106.7,103.2,3.27,2006,Houston Rockets*
3,31,51,0.378,24.0,105.9,109.9,-3.79,2006,Orlando Magic
4,29,53,0.354,26.0,99.6,103.5,-3.75,2006,Minnesota Timberwolves
5,28,54,0.341,27.0,99.9,104.5,-4.27,2006,Dallas Mavericks
6,20,62,0.244,35.0,119.9,130.8,-10.31,2006,Denver Nuggets
7,63,19,0.768,—,114.7,106.0,8.47,2006,Portland Trail Blazers*
8,58,24,0.707,5.0,106.3,99.6,6.73,2006,Los Angeles Lakers*
9,55,27,0.671,8.0,114.0,107.5,6.49,2006,Phoenix Suns*
10,44,38,0.537,19.0,116.6,115.0,1.72,2006,Golden State Warriors*
11,41,41,0.5,22.0,106.6,105.4,1.31,2006,Seattle SuperSonics*
12,31,51,0.378,32.0,103.5,107.0,-3.16,2006,Los Angeles Clippers
13,25,57,0.305,38.0,96.7,103.5,-6.27,2006,Sacramento Kings
0,56,26,0.683,—,111.5,105.7,5.22,2007,Boston Celtics*
1,44,38,0.537,12.0,105.4,105.6,-0.39,2007,Philadelphia 76ers*
2,39,43,0.476,17.0,103.1,103.3,-0.43,2007,New York Knicks*
3,30,52,0.366,26.0,101.4,106.4,-4.84,2007,Washington Bullets
4,26,56,0.317,30.0,102.9,107.5,-4.53,2007,New Jersey Nets
5,24,58,0.293,32.0,101.8,107.8,-5.91,2007,Miami Heat
6,61,21,0.744,—,110.0,101.0,8.57,2007,Chicago Bulls*
7,50,32,0.61,11.0,100.1,96.8,3.08,2007,Detroit Pistons*
8,48,34,0.585,13.0,106.4,104.0,2.33,2007,Milwaukee Bucks*
9,43,39,0.524,18.0,109.8,109.0,0.72,2007,Atlanta Hawks*
10,41,41,0.5,20.0,111.7,112.1,-0.37,2007,Indiana Pacers*
11,33,49,0.402,28.0,101.7,104.2,-2.33,2007,Cleveland Cavaliers
12,26,56,0.317,35.0,102.8,108.0,-4.95,2007,Charlotte Hornets
0,55,27,0.671,—,107.1,102.6,4.3,2007,San Antonio Spurs*
1,54,28,0.659,1.0,104.0,100.7,3.18,2007,Utah Jazz*
2,52,30,0.634,3.0,106.7,103.2,3.27,2007,Houston Rockets*
3,31,51,0.378,24.0,105.9,109.9,-3.79,2007,Orlando Magic
4,29,53,0.354,26.0,99.6,103.5,-3.75,2007,Minnesota Timberwolves
5,28,54,0.341,27.0,99.9,104.5,-4.27,2007,Dallas Mavericks
6,20,62,0.244,35.0,119.9,130.8,-10.31,2007,Denver Nuggets
7,63,19,0.768,—,114.7,106.0,8.47,2007,Portland Trail Blazers*
8,58,24,0.707,5.0,106.3,99.6,6.73,2007,Los Angeles Lakers*
9,55,27,0.671,8.0,114.0,107.5,6.49,2007,Phoenix Suns*
10,44,38,0.537,19.0,116.6,115.0,1.72,2007,Golden State Warriors*
11,41,41,0.5,22.0,106.6,105.4,1.31,2007,Seattle SuperSonics*
12,31,51,0.378,32.0,103.5,107.0,-3.16,2007,Los Angeles Clippers
13,25,57,0.305,38.0,96.7,103.5,-6.27,2007,Sacramento Kings
0,56,26,0.683,—,111.5,105.7,5.22,2008,Boston Celtics*
1,44,38,0.537,12.0,105.4,105.6,-0.39,2008,Philadelphia 76ers*
2,39,43,0.476,17.0,103.1,103.3,-0.43,2008,New York Knicks*
3,30,52,0.366,26.0,101.4,106.4,-4.84,2008,Washington Bullets
4,26,56,0.317,30.0,102.9,107.5,-4.53,2008,New Jersey Nets
5,24,58,0.293,32.0,101.8,107.8,-5.91,2008,Miami Heat
6,61,21,0.744,—,110.0,101.0,8.57,2008,Chicago Bulls*
7,50,32,0.61,11.0,100.1,96.8,3.08,2008,Detroit Pistons*
8,48,34,0.585,13.0,106.4,104.0,2.33,2008,Milwaukee Bucks*
9,43,39,0.524,18.0,109.8,109.0,0.72,2008,Atlanta Hawks*
10,41,41,0.5,20.0,111.7,112.1,-0.37,2008,Indiana Pacers*
11,33,49,0.402,28.0,101.7,104.2,-2.33,2008,Cleveland Cavaliers
12,26,56,0.317,35.0,102.8,108.0,-4.95,2008,Charlotte Hornets
0,55,27,0.671,—,107.1,102.6,4.3,2008,San Antonio Spurs*
1,54,28,0.659,1.0,104.0,100.7,3.18,2008,Utah Jazz*
2,52,30,0.634,3.0,106.7,103.2,3.27,2008,Houston Rockets*
3,31,51,0.378,24.0,105.9,109.9,-3.79,2008,Orlando Magic
4,29,53,0.354,26.0,99.6,103.5,-3.75,2008,Minnesota Timberwolves
5,28,54,0.341,27.0,99.9,104.5,-4.27,2008,Dallas Mavericks
6,20,62,0.244,35.0,119.9,130.8,-10.31,2008,Denver Nuggets
7,63,19,0.768,—,114.7,106.0,8.47,2008,Portland Trail Blazers*
8,58,24,0.707,5.0,106.3,99.6,6.73,2008,Los Angeles Lakers*
9,55,27,0.671,8.0,114.0,107.5,6.49,2008,Phoenix Suns*
10,44,38,0.537,19.0,116.6,115.0,1.72,2008,Golden State Warriors*
11,41,41,0.5,22.0,106.6,105.4,1.31,2008,Seattle SuperSonics*
12,31,51,0.378,32.0,103.5,107.0,-3.16,2008,Los Angeles Clippers
13,25,57,0.305,38.0,96.7,103.5,-6.27,2008,Sacramento Kings
0,56,26,0.683,—,111.5,105.7,5.22,2009,Boston Celtics*
1,44,38,0.537,12.0,105.4,105.6,-0.39,2009,Philadelphia 76ers*
2,39,43,0.476,17.0,103.1,103.3,-0.43,2009,New York Knicks*
3,30,52,0.366,26.0,101.4,106.4,-4.84,2009,Washington Bullets
4,26,56,0.317,30.0,102.9,107.5,-4.53,2009,New Jersey Nets
5,24,58,0.293,32.0,101.8,107.8,-5.91,2009,Miami Heat
6,61,21,0.744,—,110.0,101.0,8.57,2009,Chicago Bulls*
7,50,32,0.61,11.0,100.1,96.8,3.08,2009,Detroit Pistons*
8,48,34,0.585,13.0,106.4,104.0,2.33,2009,Milwaukee Bucks*
9,43,39,0.524,18.0,109.8,109.0,0.72,2009,Atlanta Hawks*
10,41,41,0.5,20.0,111.7,112.1,-0.37,2009,Indiana Pacers*
11,33,49,0.402,28.0,101.7,104.2,-2.33,2009,Cleveland Cavaliers
12,26,56,0.317,35.0,102.8,108.0,-4.95,2009,Charlotte Hornets
0,55,27,0.671,—,107.1,102.6,4.3,2009,San Antonio Spurs*
1,54,28,0.659,1.0,104.0,100.7,3.18,2009,Utah Jazz*
2,52,30,0.634,3.0,106.7,103.2,3.27,2009,Houston Rockets*
3,31,51,0.378,24.0,105.9,109.9,-3.79,2009,Orlando Magic
4,29,53,0.354,26.0,99.6,103.5,-3.75,2009,Minnesota Timberwolves
5,28,54,0.341,27.0,99.9,104.5,-4.27,2009,Dallas Mavericks
6,20,62,0.244,35.0,119.9,130.8,-10.31,2009,Denver Nuggets
7,63,19,0.768,—,114.7,106.0,8.47,2009,Portland Trail Blazers*
8,58,24,0.707,5.0,106.3,99.6,6.73,2009,Los Angeles Lakers*
9,55,27,0.671,8.0,114.0,107.5,6.49,2009,Phoenix Suns*
10,44,38,0.537,19.0,116.6,115.0,1.72,2009,Golden State Warriors*
11,41,41,0.5,22.0,106.6,105.4,1.31,2009,Seattle SuperSonics*
12,31,51,0.378,32.0,103.5,107.0,-3.16,2009,Los Angeles Clippers
13,25,57,0.305,38.0,96.7,103.5,-6.27,2009,Sacramento Kings
0,56,26,0.683,—,111.5,105.7,5.22,2010,Boston Celtics*
1,44,38,0.537,12.0,105.4,105.6,-0.39,2010,Philadelphia 76ers*
2,39,43,0.476,17.0,103.1,103.3,-0.43,2010,New York Knicks*
3,30,52,0.366,26.0,101.4,106.4,-4.84,2010,Washington Bullets
4,26,56,0.317,30.0,102.9,107.5,-4.53,2010,New Jersey Nets
5,24,58,0.293,32.0,101.8,107.8,-5.91,2010,Miami Heat
6,61,21,0.744,—,110.0,101.0,8.57,2010,Chicago Bulls*
7,50,32,0.61,11.0,100.1,96.8,3.08,2010,Detroit Pistons*
8,48,34,0.585,13.0,106.4,104.0,2.33,2010,Milwaukee Bucks*
9,43,39,0.524,18.0,109.8,109.0,0.72,2010,Atlanta Hawks*
10,41,41,0.5,20.0,111.7,112.1,-0.37,2010,Indiana Pacers*
11,33,49,0.402,28.0,101.7,104.2,-2.33,2010,Cleveland Cavaliers
12,26,56,0.317,35.0,102.8,108.0,-4.95,2010,Charlotte Hornets
0,55,27,0.671,—,107.1,102.6,4.3,2010,San Antonio Spurs*
1,54,28,0.659,1.0,104.0,100.7,3.18,2010,Utah Jazz*
2,52,30,0.634,3.0,106.7,103.2,3.27,2010,Houston Rockets*
3,31,51,0.378,24.0,105.9,109.9,-3.79,2010,Orlando Magic
4,29,53,0.354,26.0,99.6,103.5,-3.75,2010,Minnesota Timberwolves
5,28,54,0.341,27.0,99.9,104.5,-4.27,2010,Dallas Mavericks
6,20,62,0.244,35.0,119.9,130.8,-10.31,2010,Denver Nuggets
7,63,19,0.768,—,114.7,106.0,8.47,2010,Portland Trail Blazers*
8,58,24,0.707,5.0,106.3,99.6,6.73,2010,Los Angeles Lakers*
9,55,27,0.671,8.0,114.0,107.5,6.49,2010,Phoenix Suns*
10,44,38,0.537,19.0,116.6,115.0,1.72,2010,Golden State Warriors*
11,41,41,0.5,22.0,106.6,105.4,1.31,2010,Seattle SuperSonics*
12,31,51,0.378,32.0,103.5,107.0,-3.16,2010,Los Angeles Clippers
13,25,57,0.305,38.0,96.7,103.5,-6.27,2010,Sacramento Kings
0,56,26,0.683,—,111.5,105.7,5.22,2011,Boston Celtics*
1,44,38,0.537,12.0,105.4,105.6,-0.39,2011,Philadelphia 76ers*
2,39,43,0.476,17.0,103.1,103.3,-0.43,2011,New York Knicks*
3,30,52,0.366,26.0,101.4,106.4,-4.84,2011,Washington Bullets
4,26,56,0.317,30.0,102.9,107.5,-4.53,2011,New Jersey Nets
5,24,58,0.293,32.0,101.8,107.8,-5.91,2011,Miami Heat
6,61,21,0.744,—,110.0,101.0,8.57,2011,Chicago Bulls*
7,50,32,0.61,11.0,100.1,96.8,3.08,2011,Detroit Pistons*
8,48,34,0.585,13.0,106.4,104.0,2.33,2011,Milwaukee Bucks*
9,43,39,0.524,18.0,109.8,109.0,0.72,2011,Atlanta Hawks*
10,41,41,0.5,20.0,111.7,112.1,-0.37,2011,Indiana Pacers*
11,33,49,0.402,28.0,101.7,104.2,-2.33,2011,Cleveland Cavaliers
12,26,56,0.317,35.0,102.8,108.0,-4.95,2011,Charlotte Hornets
0,55,27,0.671,—,107.1,102.6,4.3,2011,San Antonio Spurs*
1,54,28,0.659,1.0,104.0,100.7,3.18,2011,Utah Jazz*
2,52,30,0.634,3.0,106.7,103.2,3.27,2011,Houston Rockets*
3,31,51,0.378,24.0,105.9,109.9,-3.79,2011,Orlando Magic
4,29,53,0.354,26.0,99.6,103.5,-3.75,2011,Minnesota Timberwolves
5,28,54,0.341,27.0,99.9,104.5,-4.27,2011,Dallas Mavericks
6,20,62,0.244,35.0,119.9,130.8,-10.31,2011,Denver Nuggets
7,63,19,0.768,—,114.7,106.0,8.47,2011,Portland Trail Blazers*
8,58,24,0.707,5.0,106.3,99.6,6.73,2011,Los Angeles Lakers*
9,55,27,0.671,8.0,114.0,107.5,6.49,2011,Phoenix Suns*
10,44,38,0.537,19.0,116.6,115.0,1.72,2011,Golden State Warriors*
11,41,41,0.5,22.0,106.6,105.4,1.31,2011,Seattle SuperSonics*
12,31,51,0.378,32.0,103.5,107.0,-3.16,2011,Los Angeles Clippers
13,25,57,0.305,38.0,96.7,103.5,-6.27,2011,Sacramento Kings
0,56,26,0.683,—,111.5,105.7,5.22,2012,Boston Celtics*
1,44,38,0.537,12.0,105.4,105.6,-0.39,2012,Philadelphia 76ers*
2,39,43,0.476,17.0,103.1,103.3,-0.43,2012,New York Knicks*
3,30,52,0.366,26.0,101.4,106.4,-4.84,2012,Washington Bullets
4,26,56,0.317,30.0,102.9,107.5,-4.53,2012,New Jersey Nets
5,24,58,0.293,32.0,101.8,107.8,-5.91,2012,Miami Heat
6,61,21,0.744,—,110.0,101.0,8.57,2012,Chicago Bulls*
7,50,32,0.61,11.0,100.1,96.8,3.08,2012,Detroit Pistons*
8,48,34,0.585,13.0,106.4,104.0,2.33,2012,Milwaukee Bucks*
9,43,39,0.524,18.0,109.8,109.0,0.72,2012,Atlanta Hawks*
10,41,41,0.5,20.0,111.7,112.1,-0.37,2012,Indiana Pacers*
11,33,49,0.402,28.0,101.7,104.2,-2.33,2012,Cleveland Cavaliers
12,26,56,0.317,35.0,102.8,108.0,-4.95,2012,Charlotte Hornets
0,55,27,0.671,—,107.1,102.6,4.3,2012,San Antonio Spurs*
1,54,28,0.659,1.0,104.0,100.7,3.18,2012,Utah Jazz*
2,52,30,0.634,3.0,106.7,103.2,3.27,2012,Houston Rockets*
3,31,51,0.378,24.0,105.9,109.9,-3.79,2012,Orlando Magic
4,29,53,0.354,26.0,99.6,103.5,-3.75,2012,Minnesota Timberwolves
5,28,54,0.341,27.0,99.9,104.5,-4.27,2012,Dallas Mavericks
6,20,62,0.244,35.0,119.9,130.8,-10.31,2012,Denver Nuggets
7,63,19,0.768,—,114.7,106.0,8.47,2012,Portland Trail Blazers*
8,58,24,0.707,5.0,106.3,99.6,6.73,2012,Los Angeles Lakers*
9,55,27,0.671,8.0,114.0,107.5,6.49,2012,Phoenix Suns*
10,44,38,0.537,19.0,116.6,115.0,1.72,2012,Golden State Warriors*
11,41,41,0.5,22.0,106.6,105.4,1.31,2012,Seattle SuperSonics*
12,31,51,0.378,32.0,103.5,107.0,-3.16,2012,Los Angeles Clippers
13,25,57,0.305,38.0,96.7,103.5,-6.27,2012,Sacramento Kings
0,56,26,0.683,—,111.5,105.7,5.22,2013,Boston Celtics*
1,44,38,0.537,12.0,105.4,105.6,-0.39,2013,Philadelphia 76ers*
2,39,43,0.476,17.0,103.1,103.3,-0.43,2013,New York Knicks*
3,30,52,0.366,26.0,101.4,106.4,-4.84,2013,Washington Bullets
4,26,56,0.317,30.0,102.9,107.5,-4.53,2013,New Jersey Nets
5,24,58,0.293,32.0,101.8,107.8,-5.91,2013,Miami Heat
6,61,21,0.744,—,110.0,101.0,8.57,2013,Chicago Bulls*
7,50,32,0.61,11.0,100.1,96.8,3.08,2013,Detroit Pistons*
8,48,34,0.585,13.0,106.4,104.0,2.33,2013,Milwaukee Bucks*
9,43,39,0.524,18.0,109.8,109.0,0.72,2013,Atlanta Hawks*
10,41,41,0.5,20.0,111.7,112.1,-0.37,2013,Indiana Pacers*
11,33,49,0.402,28.0,101.7,104.2,-2.33,2013,Cleveland Cavaliers
12,26,56,0.317,35.0,102.8,108.0,-4.95,2013,Charlotte Hornets
0,55,27,0.671,—,107.1,102.6,4.3,2013,San Antonio Spurs*
1,54,28,0.659,1.0,104.0,100.7,3.18,2013,Utah Jazz*
2,52,30,0.634,3.0,106.7,103.2,3.27,2013,Houston Rockets*
3,31,51,0.378,24.0,105.9,109.9,-3.79,2013,Orlando Magic
4,29,53,0.354,26.0,99.6,103.5,-3.75,2013,Minnesota Timberwolves
5,28,54,0.341,27.0,99.9,104.5,-4.27,2013,Dallas Mavericks
6,20,62,0.244,35.0,119.9,130.8,-10.31,2013,Denver Nuggets
7,63,19,0.768,—,114.7,106.0,8.47,2013,Portland Trail Blazers*
8,58,24,0.707,5.0,106.3,99.6,6.73,2013,Los Angeles Lakers*
9,55,27,0.671,8.0,114.0,107.5,6.49,2013,Phoenix Suns*
10,44,38,0.537,19.0,116.6,115.0,1.72,2013,Golden State Warriors*
11,41,41,0.5,22.0,106.6,105.4,1.31,2013,Seattle SuperSonics*
12,31,51,0.378,32.0,103.5,107.0,-3.16,2013,Los Angeles Clippers
13,25,57,0.305,38.0,96.7,103.5,-6.27,2013,Sacramento Kings
0,56,26,0.683,—,111.5,105.7,5.22,2014,Boston Celtics*
1,44,38,0.537,12.0,105.4,105.6,-0.39,2014,Philadelphia 76ers*
2,39,43,0.476,17.0,103.1,103.3,-0.43,2014,New York Knicks*
3,30,52,0.366,26.0,101.4,106.4,-4.84,2014,Washington Bullets
4,26,56,0.317,30.0,102.9,107.5,-4.53,2014,New Jersey Nets
5,24,58,0.293,32.0,101.8,107.8,-5.91,2014,Miami Heat
6,61,21,0.744,—,110.0,101.0,8.57,2014,Chicago Bulls*
7,50,32,0.61,11.0,100.1,96.8,3.08,2014,Detroit Pistons*
8,48,34,0.585,13.0,106.4,104.0,2.33,2014,Milwaukee Bucks*
9,43,39,0.524,18.0,109.8,109.0,0.72,2014,Atlanta Hawks*
10,41,41,0.5,20.0,111.7,112.1,-0.37,2014,Indiana Pacers*
11,33,49,0.402,28.0,101.7,104.2,-2.33,2014,Cleveland Cavaliers
12,26,56,0.317,35.0,102.8,108.0,-4.95,2014,Charlotte Hornets
0,55,27,0.671,—,107.1,102.6,4.3,2014,San Antonio Spurs*
1,54,28,0.659,1.0,104.0,100.7,3.18,2014,Utah Jazz*
2,52,30,0.634,3.0,106.7,103.2,3.27,2014,Houston Rockets*
3,31,51,0.378,24.0,105.9,109.9,-3.79,2014,Orlando Magic
4,29,53,0.354,26.0,99.6,103.5,-3.75,2014,Minnesota Timberwolves
5,28,54,0.341,27.0,99.9,104.5,-4.27,2014,Dallas Mavericks
6,20,62,0.244,35.0,119.9,130.8,-10.31,2014,Denver Nuggets
7,63,19,0.768,—,114.7,106.0,8.47,2014,Portland Trail Blazers*
8,58,24,0.707,5.0,106.3,99.6,6.73,2014,Los Angeles Lakers*
9,55,27,0.671,8.0,114.0,107.5,6.49,2014,Phoenix Suns*
10,44,38,0.537,19.0,116.6,115.0,1.72,2014,Golden State Warriors*
11,41,41,0.5,22.0,106.6,105.4,1.31,2014,Seattle SuperSonics*
12,31,51,0.378,32.0,103.5,107.0,-3.16,2014,Los Angeles Clippers
13,25,57,0.305,38.0,96.7,103.5,-6.27,2014,Sacramento Kings
0,56,26,0.683,—,111.5,105.7,5.22,2015,Boston Celtics*
1,44,38,0.537,12.0,105.4,105.6,-0.39,2015,Philadelphia 76ers*
2,39,43,0.476,17.0,103.1,103.3,-0.43,2015,New York Knicks*
3,30,52,0.366,26.0,101.4,106.4,-4.84,2015,Washington Bullets
4,26,56,0.317,30.0,102.9,107.5,-4.53,2015,New Jersey Nets
5,24,58,0.293,32.0,101.8,107.8,-5.91,2015,Miami Heat
6,61,21,0.744,—,110.0,101.0,8.57,2015,Chicago Bulls*
7,50,32,0.61,11.0,100.1,96.8,3.08,2015,Detroit Pistons*
8,48,34,0.585,13.0,106.4,104.0,2.33,2015,Milwaukee Bucks*
9,43,39,0.524,18.0,109.8,109.0,0.72,2015,Atlanta Hawks*
10,41,41,0.5,20.0,111.7,112.1,-0.37,2015,Indiana Pacers*
11,33,49,0.402,28.0,101.7,104.2,-2.33,2015,Cleveland Cavaliers
12,26,56,0.317,35.0,102.8,108.0,-4.95,2015,Charlotte Hornets
0,55,27,0.671,—,107.1,102.6,4.3,2015,San Antonio Spurs*
1,54,28,0.659,1.0,104.0,100.7,3.18,2015,Utah Jazz*
2,52,30,0.634,3.0,106.7,103.2,3.27,2015,Houston Rockets*
3,31,51,0.378,24.0,105.9,109.9,-3.79,2015,Orlando Magic
4,29,53,0.354,26.0,99.6,103.5,-3.75,2015,Minnesota Timberwolves
5,28,54,0.341,27.0,99.9,104.5,-4.27,2015,Dallas Mavericks
6,20,62,0.244,35.0,119.9,130.8,-10.31,2015,Denver Nuggets
7,63,19,0.768,—,114.7,106.0,8.47,2015,Portland Trail Blazers*
8,58,24,0.707,5.0,106.3,99.6,6.73,2015,Los Angeles Lakers*
9,55,27,0.671,8.0,114.0,107.5,6.49,2015,Phoenix Suns*
10,44,38,0.537,19.0,116.6,115.0,1.72,2015,Golden State Warriors*
11,41,41,0.5,22.0,106.6,105.4,1.31,2015,Seattle SuperSonics*
12,31,51,0.378,32.0,103.5,107.0,-3.16,2015,Los Angeles Clippers
13,25,57,0.305,38.0,96.7,103.5,-6.27,2015,Sacramento Kings
0,56,26,0.683,—,111.5,105.7,5.22,2016,Boston Celtics*
1,44,38,0.537,12.0,105.4,105.6,-0.39,2016,Philadelphia 76ers*
2,39,43,0.476,17.0,103.1,103.3,-0.43,2016,New York Knicks*
3,30,52,0.366,26.0,101.4,106.4,-4.84,2016,Washington Bullets
4,26,56,0.317,30.0,102.9,107.5,-4.53,2016,New Jersey Nets
5,24,58,0.293,32.0,101.8,107.8,-5.91,2016,Miami Heat
6,61,21,0.744,—,110.0,101.0,8.57,2016,Chicago Bulls*
7,50,32,0.61,11.0,100.1,96.8,3.08,2016,Detroit Pistons*
8,48,34,0.585,13.0,106.4,104.0,2.33,2016,Milwaukee Bucks*
9,43,39,0.524,18.0,109.8,109.0,0.72,2016,Atlanta Hawks*
10,41,41,0.5,20.0,111.7,112.1,-0.37,2016,Indiana Pacers*
11,33,49,0.402,28.0,101.7,104.2,-2.33,2016,Cleveland Cavaliers
12,26,56,0.317,35.0,102.8,108.0,-4.95,2016,Charlotte Hornets
0,55,27,0.671,—,107.1,102.6,4.3,2016,San Antonio Spurs*
1,54,28,0.659,1.0,104.0,100.7,3.18,2016,Utah Jazz*
2,52,30,0.634,3.0,106.7,103.2,3.27,2016,Houston Rockets*
3,31,51,0.378,24.0,105.9,109.9,-3.79,2016,Orlando Magic
4,29,53,0.354,26.0,99.6,103.5,-3.75,2016,Minnesota Timberwolves
5,28,54,0.341,27.0,99.9,104.5,-4.27,2016,Dallas Mavericks
6,20,62,0.244,35.0,119.9,130.8,-10.31,2016,Denver Nuggets
7,63,19,0.768,—,114.7,106.0,8.47,2016,Portland Trail Blazers*
8,58,24,0.707,5.0,106.3,99.6,6.73,2016,Los Angeles Lakers*
9,55,27,0.671,8.0,114.0,107.5,6.49,2016,Phoenix Suns*
10,44,38,0.537,19.0,116.6,115.0,1.72,2016,Golden State Warriors*
11,41,41,0.5,22.0,106.6,105.4,1.31,2016,Seattle SuperSonics*
12,31,51,0.378,32.0,103.5,107.0,-3.16,2016,Los Angeles Clippers
13,25,57,0.305,38.0,96.7,103.5,-6.27,2016,Sacramento Kings
0,56,26,0.683,—,111.5,105.7,5.22,2017,Boston Celtics*
1,44,38,0.537,12.0,105.4,105.6,-0.39,2017,Philadelphia 76ers*
2,39,43,0.476,17.0,103.1,103.3,-0.43,2017,New York Knicks*
3,30,52,0.366,26.0,101.4,106.4,-4.84,2017,Washington Bullets
4,26,56,0.317,30.0,102.9,107.5,-4.53,2017,New Jersey Nets
5,24,58,0.293,32.0,101.8,107.8,-5.91,2017,Miami Heat
